strategy,pair,mechanism,trigger_value,threshold,reason,source,enabled,model_week,model_sha256,feature_schema_sha256,strategy_schema_sha256,start_ts,end_ts,phase,action
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0197546426206827,0.0723865389823913,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,10,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1769717100,1770436800,COOLDOWN,quote_only_until_model_recovery
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0197546426206827,0.0723865389823913,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,10,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1770436800,1770437100,REENTRY,three_healthy_cycles_then_rebuild
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0371173173189163,0.0421569719910621,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,18,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1774555200,1774555500,EXITING,cancel_and_market_exit
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0371173173189163,0.0421569719910621,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,18,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1774555500,1774872000,COOLDOWN,quote_only_until_model_recovery
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0371173173189163,0.0421569719910621,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,18,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1774872000,1774872300,REENTRY,three_healthy_cycles_then_rebuild
grid,ETH-FDUSD,v22_weekly_buy_gate,0.018356928601861,0.0576209105551242,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,26,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1779494400,1779494700,EXITING,cancel_and_market_exit
grid,ETH-FDUSD,v22_weekly_buy_gate,0.018356928601861,0.0576209105551242,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,26,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1779494700,1780848000,COOLDOWN,quote_only_until_model_recovery
grid,ETH-FDUSD,v22_weekly_buy_gate,0.018356928601861,0.0576209105551242,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,26,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1780848000,1780848300,REENTRY,three_healthy_cycles_then_rebuild
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0402792207896709,0.0420571096241474,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,32,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1782907200,1782907500,EXITING,cancel_and_market_exit
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0402792207896709,0.0420571096241474,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,32,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1782907500,1783080000,COOLDOWN,quote_only_until_model_recovery
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0402792207896709,0.0420571096241474,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,32,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1783080000,1783080300,REENTRY,three_healthy_cycles_then_rebuild
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0450140051543712,0.0608760528266429,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,33,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1783483200,1783483500,EXITING,cancel_and_market_exit
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0450140051543712,0.0608760528266429,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,33,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1783483500,1783742400,COOLDOWN,quote_only_until_model_recovery
grid,ETH-FDUSD,v22_weekly_buy_gate,0.0450140051543712,0.0608760528266429,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,33,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1783742400,1783742700,REENTRY,three_healthy_cycles_then_rebuild
dca,BTC-USDT,v22_weekly_buy_gate,0.0211101546883583,0.089248888194561,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,5,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1766865600,1766865900,EXITING,cancel_and_market_exit
dca,BTC-USDT,v22_weekly_buy_gate,0.0211101546883583,0.089248888194561,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,5,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1766865900,1767182400,COOLDOWN,quote_only_until_model_recovery
dca,BTC-USDT,v22_weekly_buy_gate,0.0388454236090183,0.0388454236090183,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,10,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1769529600,1769529900,EXITING,cancel_and_market_exit
dca,BTC-USDT,v22_weekly_buy_gate,0.0388454236090183,0.0388454236090183,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,10,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1769529900,1770422400,COOLDOWN,quote_only_until_model_recovery
dca,BTC-USDT,v22_weekly_buy_gate,0.0388454236090183,0.0388454236090183,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,10,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1770422400,1770422700,REENTRY,three_healthy_cycles_then_rebuild
dca,BTC-USDT,v22_weekly_buy_gate,0.0381070561707019,0.0392067804932594,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,15,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1772841600,1772841900,EXITING,cancel_and_market_exit
dca,BTC-USDT,v22_weekly_buy_gate,0.0381070561707019,0.0392067804932594,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,15,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1772841900,1773086400,COOLDOWN,quote_only_until_model_recovery
dca,BTC-USDT,v22_weekly_buy_gate,0.0381070561707019,0.0392067804932594,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,15,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1773086400,1773086700,REENTRY,three_healthy_cycles_then_rebuild
dca,BTC-USDT,v22_weekly_buy_gate,0.0384197197854518,0.0388851277530193,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,17,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1774022400,1774022700,EXITING,cancel_and_market_exit
dca,BTC-USDT,v22_weekly_buy_gate,0.0384197197854518,0.0388851277530193,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,17,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1774022700,1774310400,COOLDOWN,quote_only_until_model_recovery
dca,BTC-USDT,v22_weekly_buy_gate,0.0384197197854518,0.0388851277530193,v22_risk_off,frozen_v22_signal_plus_forced_exit_v2_overlay,True,17,3a0eea362858830757db5bf3de3892b88923e5cbce52b5f3e72c8cdabbecc338,1fdc99293e83bd00b68b18174f3dc4f854f5b972c294f8c64e13ad26e8498da1,5de7c72a35911bbaad43fe342a068cb80a276c2b145ded8bfce79bd5eb1f29cb,1774310400,1774310700,REENTRY,three_healthy_cycles_then_rebuild
