timestamp,open,high,low,close,volume
1775322900,67414.76000000,67442.75000000,67410.00000000,67410.00000000,0.57467000
1775323200,67410.00000000,67434.68000000,67400.00000000,67434.68000000,0.55398000
1775323500,67436.50000000,67454.99000000,67436.50000000,67445.89000000,0.19772000
1775323800,67442.60000000,67442.60000000,67430.93000000,67436.82000000,0.13158000
1775324100,67436.82000000,67436.82000000,67390.00000000,67390.00000000,3.43674000
1775324400,67390.01000000,67396.74000000,67378.28000000,67378.28000000,0.12555000
1775324700,67377.44000000,67377.44000000,67370.60000000,67370.61000000,0.01403000
1775325000,67370.61000000,67379.41000000,67370.61000000,67379.41000000,0.69515000
1775325300,67380.33000000,67387.26000000,67375.61000000,67387.25000000,1.71984000
1775325600,67387.23000000,67387.23000000,67342.91000000,67351.86000000,0.44249000
1775325900,67352.58000000,67383.25000000,67352.58000000,67375.39000000,0.65205000
1775326200,67374.59000000,67374.59000000,67370.67000000,67371.70000000,0.05036000
1775326500,67371.73000000,67415.11000000,67371.73000000,67405.06000000,0.61053000
1775326800,67403.54000000,67403.54000000,67393.53000000,67400.07000000,0.02670000
1775327100,67403.46000000,67403.46000000,67380.00000000,67380.00000000,0.09097000
1775327400,67380.00000000,67380.00000000,67341.76000000,67341.76000000,0.40808000
1775327700,67341.71000000,67347.14000000,67341.71000000,67347.14000000,0.22085000
1775328000,67347.17000000,67353.94000000,67332.98000000,67332.98000000,0.15608000
1775328300,67332.98000000,67337.68000000,67312.51000000,67325.55000000,0.74391000
1775328600,67323.29000000,67363.19000000,67323.29000000,67363.19000000,0.37533000
1775328900,67363.62000000,67363.62000000,67339.22000000,67339.22000000,0.04543000
1775329200,67339.23000000,67396.88000000,67339.23000000,67390.30000000,0.34925000
1775329500,67389.30000000,67485.03000000,67388.27000000,67447.75000000,7.74726000
1775329800,67447.11000000,67535.29000000,67428.71000000,67535.29000000,0.99069000
1775330100,67536.72000000,67584.77000000,67448.75000000,67478.22000000,2.20015000
1775330400,67478.91000000,67478.91000000,67435.73000000,67435.73000000,1.47048000
1775330700,67435.15000000,67435.15000000,67405.88000000,67406.92000000,0.31970000
1775331000,67411.51000000,67411.51000000,67375.76000000,67382.03000000,0.62432000
1775331300,67383.03000000,67408.98000000,67383.03000000,67401.17000000,0.07163000
1775331600,67401.11000000,67401.11000000,67331.75000000,67338.55000000,1.25576000
1775331900,67339.55000000,67351.00000000,67339.55000000,67350.63000000,0.26167000
1775332200,67351.44000000,67367.99000000,67351.44000000,67361.03000000,0.19587000
1775332500,67366.72000000,67366.72000000,67320.00000000,67333.47000000,0.58480000
1775332800,67334.08000000,67334.08000000,67200.00000000,67237.84000000,11.54236000
1775333100,67237.84000000,67267.53000000,67237.84000000,67267.53000000,0.19895000
1775333400,67267.84000000,67274.55000000,67267.84000000,67273.71000000,0.04575000
1775333700,67273.72000000,67297.00000000,67273.72000000,67297.00000000,0.17564000
1775334000,67299.29000000,67320.00000000,67293.17000000,67320.00000000,0.40848000
1775334300,67320.00000000,67320.00000000,67311.13000000,67314.13000000,0.19346000
1775334600,67314.14000000,67314.14000000,67306.73000000,67307.05000000,0.01875000
1775334900,67307.76000000,67335.22000000,67307.76000000,67313.09000000,1.31578000
1775335200,67311.97000000,67330.69000000,67309.98000000,67309.98000000,0.02413000
1775335500,67309.99000000,67340.94000000,67309.99000000,67332.89000000,1.16259000
1775335800,67327.93000000,67327.93000000,67310.00000000,67310.00000000,0.02304000
1775336100,67310.00000000,67310.00000000,67303.92000000,67308.35000000,0.05587000
1775336400,67308.35000000,67329.83000000,67308.35000000,67326.29000000,0.05039000
1775336700,67323.10000000,67323.10000000,67316.37000000,67316.37000000,0.01384000
1775337000,67316.19000000,67316.19000000,67265.48000000,67274.23000000,1.73038000
1775337300,67277.27000000,67301.50000000,67277.27000000,67301.50000000,0.82952000
1775337600,67301.50000000,67320.13000000,67301.50000000,67319.08000000,0.34862000
1775337900,67314.08000000,67316.16000000,67303.11000000,67316.16000000,0.11902000
1775338200,67316.89000000,67316.94000000,67314.16000000,67316.94000000,0.01958000
1775338500,67317.12000000,67350.00000000,67317.12000000,67350.00000000,8.14051000
1775338800,67349.99000000,67362.70000000,67330.00000000,67342.35000000,0.71413000
1775339100,67343.27000000,67398.98000000,67343.27000000,67391.00000000,1.00923000
