rank,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,min_grid_move_seconds,portfolio_stop_loss,stage,initial_quote,final_equity,net_pnl_quote,net_pnl_pct,max_drawdown_pct,liquidated,liquidation_step,cooldown_hours,trades,completed_cycles,grid_moves,open_positions,score
91,0.06,12,0.015,0.005,0.015,0.04,0.0,0.08,1,10000,9258.16923045063,-741.8307695493695,-0.07418307695493695,-0.08004670514867161,True,8075,24,11584,5582,153,0,-0.07418307695493695
92,0.06,12,0.015,0.008,0.005,0.04,0.0,0.08,1,10000,9256.632332341742,-743.3676676582581,-0.07433676676582582,-0.08171280367811182,True,6790,24,5027,2303,156,0,-0.07433676676582582
93,0.06,16,0.01,0.01,0.005,0.04,0.0,0.08,1,10000,9256.565002668842,-743.4349973311582,-0.07434349973311583,-0.08117423003252323,True,6790,24,5622,2499,156,0,-0.07434349973311583
94,0.06,16,0.01,0.005,0.01,0.04,0.0,0.08,1,10000,9254.3993321535,-745.6006678465001,-0.07456006678465,-0.08013865536350778,True,8155,24,17195,8306,184,0,-0.07456006678465
95,0.1,16,0.015,0.005,0.005,0.04,0.0,0.08,1,10000,9254.174771223414,-745.8252287765863,-0.07458252287765862,-0.08004316331462498,True,8159,24,10854,5233,94,0,-0.07458252287765862
96,0.1,16,0.015,0.008,0.005,0.04,0.0,0.08,1,10000,9253.6416175755,-746.3583824244997,-0.07463583824244997,-0.08029097521792089,True,7150,24,4822,2216,71,0,-0.07463583824244997
97,0.06,12,0.015,0.008,0.015,0.04,0.0,0.08,1,10000,9253.396404309184,-746.6035956908163,-0.07466035956908162,-0.08103554384468498,True,6795,24,4489,2054,98,0,-0.07466035956908162
98,0.06,16,0.01,0.008,0.015,0.04,0.0,0.08,1,10000,9252.152711235953,-747.8472887640473,-0.07478472887640474,-0.08041802350165715,True,7150,24,7065,3242,118,0,-0.07478472887640474
99,0.06,16,0.01,0.005,0.005,0.04,0.0,0.08,1,10000,9251.697664660038,-748.3023353399622,-0.07483023353399622,-0.08100089905131005,True,8075,24,17759,8565,238,0,-0.07483023353399622
100,0.06,12,0.01,0.01,0.005,0.04,0.0,0.08,1,10000,9250.940397419283,-749.0596025807172,-0.07490596025807172,-0.08003424400164882,True,7202,24,5301,2379,181,0,-0.07490596025807172
101,0.08,16,0.015,0.005,0.005,0.04,0.0,0.08,1,10000,9250.12001921342,-749.8799807865798,-0.07498799807865798,-0.08191720021295326,True,7202,24,9801,4698,116,0,-0.07498799807865798
102,0.08,16,0.015,0.005,0.01,0.04,0.0,0.08,1,10000,9249.720945388737,-750.2790546112628,-0.07502790546112628,-0.08145595838197353,True,7201,24,9384,4494,97,0,-0.07502790546112628
103,0.1,16,0.015,0.008,0.015,0.04,0.0,0.08,1,10000,9248.810588804636,-751.1894111953643,-0.07511894111953643,-0.0805356934105127,True,8002,24,6460,3015,69,0,-0.07511894111953643
104,0.1,16,0.015,0.01,0.01,0.04,0.0,0.08,1,10000,9248.496980198488,-751.503019801512,-0.0751503019801512,-0.08086896102326223,True,7150,24,3792,1704,62,0,-0.0751503019801512
105,0.06,8,0.015,0.01,0.005,0.04,0.0,0.08,1,10000,9248.298497846987,-751.7015021530133,-0.07517015021530132,-0.0802840880101332,True,7957,24,4489,2044,236,0,-0.07517015021530132
106,0.06,12,0.015,0.01,0.01,0.04,0.0,0.08,1,10000,9248.028327322116,-751.9716726778843,-0.07519716726778843,-0.0820450565614229,True,6790,24,3797,1685,117,0,-0.07519716726778843
107,0.06,12,0.01,0.008,0.005,0.04,0.0,0.08,1,10000,9247.079978949501,-752.9200210504987,-0.07529200210504987,-0.08019071776926655,True,8089,24,8823,4114,240,0,-0.07529200210504987
108,0.08,12,0.015,0.008,0.005,0.04,0.0,0.08,1,10000,9246.760726832797,-753.2392731672026,-0.07532392731672026,-0.08066222188746487,True,7204,24,4758,2190,117,0,-0.07532392731672026
109,0.08,16,0.01,0.008,0.005,0.04,0.0,0.08,1,10000,9246.368083264151,-753.6319167358488,-0.07536319167358488,-0.0801365600085274,True,8154,24,9021,4212,152,0,-0.07536319167358488
