week_index,train_start,train_end,trade_start,trade_end,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,selection_score,selection_net_pnl_quote,selection_net_pnl_pct,selection_max_drawdown_pct,selection_liquidated,selection_grid_moves,selection_trades,selection_open_positions
4,2026-02-21 03:15:00,2026-02-28 03:15:00,2026-02-28 03:15:00,2026-03-07 03:15:00,0.1,8,0.005,0.008,0.005,0.04,-0.0015394898165583763,5.33678981000412,0.000533678981000412,-0.001382112531705859,False,30,835,10
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,0.1,8,0.005,0.005,0.005,0.04,0.00036648279951641727,13.670418604506267,0.0013670418604506266,-0.0006670393739561395,False,38,1782,10
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,0.1,8,0.005,0.008,0.01,0.04,-0.00036776302380156804,11.979073892131055,0.0011979073892131055,-0.0010437802753431157,False,26,1162,10
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,0.1,8,0.005,0.005,0.015,0.04,-7.173143059028457e-05,11.703428974078633,0.0011703428974078633,-0.0008280495519987652,False,23,1704,10
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,0.1,8,0.005,0.008,0.015,0.04,-0.0006216340019406107,10.676827691782819,0.001067682769178282,-0.0011262111807459284,False,23,1112,10
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,0.1,8,0.005,0.005,0.01,0.04,3.1062852853583e-05,12.410461435913021,0.001241046143591302,-0.0008066555271584794,False,26,1757,10
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,0.08,8,0.005,0.005,0.01,0.04,-0.00034160289539897663,13.993179971312202,0.0013993179971312202,-0.0011606139283534646,False,49,2163,10
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,0.08,8,0.005,0.005,0.015,0.04,-0.0005039934544409513,12.419931396601896,0.0012419931396601897,-0.001163991062734094,False,42,2037,10
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,0.08,8,0.005,0.005,0.005,0.04,-0.00026346804824153316,14.713731514801111,0.0014713731514801112,-0.0011565607998144296,False,61,2256,10
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,0.1,12,0.005,0.005,0.015,0.04,-0.00022460828292529523,16.59567179003352,0.001659567179003352,-0.0012561169746190981,False,23,2580,10
5,2026-02-28 03:15:00,2026-03-07 03:15:00,2026-03-07 03:15:00,2026-03-14 03:15:00,0.1,8,0.005,0.008,0.005,0.04,-0.00038978013680084295,12.119710021812352,0.0012119710021812353,-0.001067834092654719,False,38,1197,10
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.1,8,0.005,0.005,0.005,0.04,0.0008076042898892098,10.968622056265303,0.0010968622056265304,-0.00019283861049154707,False,12,1147,9
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.1,8,0.005,0.008,0.01,0.04,0.0007590408049773733,11.125136001202918,0.0011125136001202919,-0.0002356485300952791,False,11,725,9
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.1,8,0.005,0.005,0.015,0.04,0.0006339559390730739,10.487620535102906,0.0010487620535102906,-0.00027653740962481105,False,10,1175,8
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.1,8,0.005,0.008,0.015,0.04,0.0006025738201818948,10.643249667076816,0.0010643249667076815,-0.00030783409768385785,False,10,739,9
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.1,8,0.005,0.005,0.01,0.04,0.0007942438349398639,11.320698516172342,0.0011320698516172343,-0.00022521734445158026,False,11,1180,8
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.08,8,0.005,0.005,0.01,0.04,0.0009034119065890448,13.058215145731083,0.0013058215145731083,-0.00026827307198937564,False,22,1376,9
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.08,8,0.005,0.005,0.015,0.04,0.0008369784809891441,12.675081975341527,0.0012675081975341528,-0.00028701981103000575,False,12,1373,9
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.08,8,0.005,0.005,0.005,0.04,0.0010305779846783633,14.154537575221184,0.0014154537575221185,-0.0002565838485625035,False,31,1433,9
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.1,12,0.005,0.005,0.015,0.04,0.001026051861899382,15.481019849874428,0.0015481019849874428,-0.00034803341539204057,False,10,1669,10
6,2026-03-07 03:15:00,2026-03-14 03:15:00,2026-03-14 03:15:00,2026-03-21 03:15:00,0.1,8,0.005,0.008,0.005,0.04,0.0007764342218588011,11.092116905121657,0.0011092116905121656,-0.00022185164576890966,False,12,715,9
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,0.1,8,0.005,0.005,0.005,0.04,-0.0008813815738954783,3.833042849853882,0.0003833042849853882,-0.0008431239059205777,False,20,917,10
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,0.1,8,0.005,0.008,0.01,0.04,-0.0012722810958041928,3.437136243255736,0.0003437136243255736,-0.0010773298134198444,False,19,624,10
7,2026-03-14 03:15:00,2026-03-21 03:15:00,2026-03-21 03:15:00,2026-03-28 03:15:00,0.1,8,0.005,0.005,0.015,0.04,-0.0007597599677563198,4.332604684172111,0.0004332604684172111,-0.0007953469574490205,False,14,931,10
