week_index,train_start,train_end,trade_start,trade_end,grid_range,grid_levels,order_quote_pct,take_profit,move_threshold,stop_loss,selection_score,selection_net_pnl_quote,selection_net_pnl_pct,selection_max_drawdown_pct,selection_liquidated,selection_trades,selection_completed_cycles,selection_grid_moves,selection_open_positions
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.015,0.003,0.015,0.04,0.0035642849525735648,71.57049185268261,0.007157049185268261,-0.0023951761551297976,False,1301,644,15,3
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.015,0.005,0.01,0.04,0.0029773856856434014,84.82517892084252,0.008482517892084252,-0.003670088137627234,False,952,466,28,3
2,2026-06-24 02:41:41,2026-07-01 02:41:41,2026-07-01 02:41:41,2026-07-08 02:41:41,0.04,8,0.015,0.005,0.015,0.04,0.0020571394688533064,80.53336788539491,0.00805333678853949,-0.003997464879790789,False,901,441,15,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.01,0.003,0.01,0.04,0.0011724080902792628,27.556216728258732,0.0027556216728258733,-0.0010554757216977404,False,872,429,13,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.01,0.003,0.015,0.04,0.001314860539632759,25.699940410519048,0.002569994041051905,-0.0008367556676127639,False,769,378,11,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.01,0.005,0.01,0.04,0.0014637898462421324,33.96514439112798,0.003396514439112798,-0.001288483061913777,False,601,292,13,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.01,0.005,0.015,0.04,0.0014601270385211972,29.279550890405517,0.0029279550890405517,-0.0009785520336795697,False,498,242,11,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.01,0.008,0.01,0.04,0.0006845497158906311,33.29876723047346,0.003329876723047346,-0.0017635513381044766,False,397,188,13,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.01,0.008,0.015,0.04,0.000772368140856215,30.23523451532492,0.0030235234515324917,-0.0015007702071175178,False,332,157,11,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.01,0.01,0.01,0.04,0.0003705645246812701,33.894033067761484,0.0033894033067761484,-0.002012559188063252,False,336,156,13,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.01,0.01,0.015,0.04,0.0005268198120676948,29.719275753423062,0.0029719275753423064,-0.0016300718421830744,False,286,133,11,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.015,0.003,0.01,0.04,0.001762788855911049,41.33432509238992,0.0041334325092389915,-0.0015804291022186285,False,872,429,13,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.015,0.003,0.015,0.04,0.0019752578748231248,38.54991061578221,0.003854991061578221,-0.001253155457836731,False,769,378,11,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.015,0.005,0.01,0.04,0.002201963072961619,50.947716586695606,0.00509477165866956,-0.0019285390571386275,False,601,292,13,3
3,2026-07-01 02:41:41,2026-07-08 02:41:41,2026-07-08 02:41:41,2026-07-09 02:41:41,0.04,8,0.015,0.005,0.015,0.04,0.0021930748987608792,43.91932633561191,0.004391932633561192,-0.0014659051565335415,False,498,242,11,3
